NA-42_shelfmark,Heading,Title,Imprint,Format,Date1,Date2,City,Country,Language,Category,Subject,Binding,Lot_no,Shelfmark,Shelf,Shelf_section,In_TCD,Is_measured,Has_photo,height,width,Measurement_inferred
F.11.1 [2:10],"LECLERC, seu CLERICUS (Joannes).",Bibliotheque ancienne et moderne par Jean le Clercq,"Amsterdam, 1714-1730. 12°. 29 tom.",12°,1714,1730,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,215,Fag.L.8.32,F11,1,TRUE,TRUE,TRUE,142,29,
F.11.1 [2:11],"LECLERC, seu CLERICUS (Joannes).",Bibliotheque ancienne et moderne par Jean le Clercq,"Amsterdam, 1714-1730. 12°. 29 tom.",12°,1714,1730,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,215,Fag.L.8.33,F11,1,TRUE,TRUE,TRUE,141,30,
F.11.1 [2:12],"LECLERC, seu CLERICUS (Joannes).",Bibliotheque ancienne et moderne par Jean le Clercq,"Amsterdam, 1714-1730. 12°. 29 tom.",12°,1714,1730,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,215,Fag.L.8.34,F11,1,TRUE,TRUE,TRUE,142,31,
F.11.1 [2:13],"LECLERC, seu CLERICUS (Joannes).",Bibliotheque ancienne et moderne par Jean le Clercq,"Amsterdam, 1714-1730. 12°. 29 tom.",12°,1714,1730,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,215,Fag.L.8.35,F11,1,TRUE,TRUE,TRUE,141,30,
F.11.1 [2:14],"LECLERC, seu CLERICUS (Joannes).",Bibliotheque ancienne et moderne par Jean le Clercq,"Amsterdam, 1714-1730. 12°. 29 tom.",12°,1714,1730,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,215,Fag.L.8.36,F11,1,TRUE,TRUE,TRUE,142,30,
F.11.1 [2:15],"LECLERC, seu CLERICUS (Joannes).",Bibliotheque ancienne et moderne par Jean le Clercq,"Amsterdam, 1714-1730. 12°. 29 tom.",12°,1714,1730,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,215,Fag.L.8.37,F11,1,TRUE,TRUE,TRUE,142,30,
F.11.1 [2:16],"LECLERC, seu CLERICUS (Joannes).",Bibliotheque ancienne et moderne par Jean le Clercq,"Amsterdam, 1714-1730. 12°. 29 tom.",12°,1714,1730,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,215,Fag.L.8.38,F11,1,TRUE,TRUE,TRUE,141,30,
F.11.1 [2:17],"LECLERC, seu CLERICUS (Joannes).",Bibliotheque ancienne et moderne par Jean le Clercq,"Amsterdam, 1714-1730. 12°. 29 tom.",12°,1714,1730,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,215,Fag.L.8.39,F11,1,TRUE,TRUE,TRUE,140,30,
F.11.1 [2:18],"LECLERC, seu CLERICUS (Joannes).",Bibliotheque ancienne et moderne par Jean le Clercq,"Amsterdam, 1714-1730. 12°. 29 tom.",12°,1714,1730,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,215,Fag.L.8.40,F11,1,TRUE,TRUE,TRUE,141,30,
F.11.1 [2:19],"LECLERC, seu CLERICUS (Joannes).",Bibliotheque ancienne et moderne par Jean le Clercq,"Amsterdam, 1714-1730. 12°. 29 tom.",12°,1714,1730,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,215,Fag.L.8.41,F11,1,TRUE,TRUE,TRUE,141,31,
F.11.1 [2:20],"LECLERC, seu CLERICUS (Joannes).",Bibliotheque ancienne et moderne par Jean le Clercq,"Amsterdam, 1714-1730. 12°. 29 tom.",12°,1714,1730,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,215,Fag.L.8.42,F11,1,TRUE,TRUE,TRUE,141,30,
F.11.1 [2:21],"LECLERC, seu CLERICUS (Joannes).",Bibliotheque ancienne et moderne par Jean le Clercq,"Amsterdam, 1714-1730. 12°. 29 tom.",12°,1714,1730,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,215,Fag.L.8.43,F11,1,TRUE,TRUE,TRUE,142,28,
F.11.2 [1:1],"LECLERC, seu CLERICUS (Joannes).","Bibliotheque universelle et historique, 1686-93.",Amst. 1687-1700. 12°. 2de ed. 25 tom. en 22.,12°,1687,1700,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,213,Fag.G.16.50,F11,2,TRUE,FALSE,TRUE,142,34,
F.11.2 [1:2],"LECLERC, seu CLERICUS (Joannes).","Bibliotheque universelle et historique, 1686-93.",Amst. 1687-1700. 12°. 2de ed. 25 tom. en 22.,12°,1687,1700,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,213,Fag.G.16.51,F11,2,TRUE,FALSE,TRUE,140,33,
F.11.2 [1:3],"LECLERC, seu CLERICUS (Joannes).","Bibliotheque universelle et historique, 1686-93.",Amst. 1687-1700. 12°. 2de ed. 25 tom. en 22.,12°,1687,1700,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,213,Fag.G.16.52,F11,2,TRUE,FALSE,TRUE,140,34,
F.11.2 [1:4],"LECLERC, seu CLERICUS (Joannes).","Bibliotheque universelle et historique, 1686-93.",Amst. 1687-1700. 12°. 2de ed. 25 tom. en 22.,12°,1687,1700,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,213,Fag.G.16.53,F11,2,TRUE,FALSE,TRUE,141,35,
F.11.2 [1:5],"LECLERC, seu CLERICUS (Joannes).","Bibliotheque universelle et historique, 1686-93.",Amst. 1687-1700. 12°. 2de ed. 25 tom. en 22.,12°,1687,1700,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,213,Fag.G.16.54,F11,2,TRUE,FALSE,TRUE,142,35,
F.11.2 [1:6],"LECLERC, seu CLERICUS (Joannes).","Bibliotheque universelle et historique, 1686-93.",Amst. 1687-1700. 12°. 2de ed. 25 tom. en 22.,12°,1687,1700,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,213,Fag.G.16.55,F11,2,TRUE,FALSE,TRUE,142,35,
F.11.2 [1:7],"LECLERC, seu CLERICUS (Joannes).","Bibliotheque universelle et historique, 1686-93.",Amst. 1687-1700. 12°. 2de ed. 25 tom. en 22.,12°,1687,1700,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,213,Fag.G.16.56,F11,2,TRUE,FALSE,TRUE,142,35,
F.11.2 [1:8],"LECLERC, seu CLERICUS (Joannes).","Bibliotheque universelle et historique, 1686-93.",Amst. 1687-1700. 12°. 2de ed. 25 tom. en 22.,12°,1687,1700,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,213,Fag.G.16.57,F11,2,TRUE,FALSE,TRUE,142,34,
F.11.2 [1:9],"LECLERC, seu CLERICUS (Joannes).","Bibliotheque universelle et historique, 1686-93.",Amst. 1687-1700. 12°. 2de ed. 25 tom. en 22.,12°,1687,1700,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,213,Fag.G.16.58,F11,2,TRUE,FALSE,TRUE,142,35,
F.11.2 [1:10],"LECLERC, seu CLERICUS (Joannes).","Bibliotheque universelle et historique, 1686-93.",Amst. 1687-1700. 12°. 2de ed. 25 tom. en 22.,12°,1687,1700,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,213,Fag.G.16.59,F11,2,TRUE,FALSE,TRUE,140,36,
F.11.2 [1:11],"LECLERC, seu CLERICUS (Joannes).","Bibliotheque universelle et historique, 1686-93.",Amst. 1687-1700. 12°. 2de ed. 25 tom. en 22.,12°,1687,1700,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,213,Fag.G.16.60,F11,2,TRUE,FALSE,TRUE,141,36,
F.11.2 [1:12],"LECLERC, seu CLERICUS (Joannes).","Bibliotheque universelle et historique, 1686-93.",Amst. 1687-1700. 12°. 2de ed. 25 tom. en 22.,12°,1687,1700,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,213,Fag.G.16.61,F11,2,TRUE,FALSE,TRUE,140,35,
F.11.2 [1:13],"LECLERC, seu CLERICUS (Joannes).","Bibliotheque universelle et historique, 1686-93.",Amst. 1687-1700. 12°. 2de ed. 25 tom. en 22.,12°,1687,1700,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,213,Fag.G.16.62,F11,2,TRUE,FALSE,TRUE,140,35,
F.11.2 [1:14],"LECLERC, seu CLERICUS (Joannes).","Bibliotheque universelle et historique, 1686-93.",Amst. 1687-1700. 12°. 2de ed. 25 tom. en 22.,12°,1687,1700,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,213,Fag.G.16.63,F11,2,TRUE,FALSE,TRUE,141,30,
F.11.2 [1:15],"LECLERC, seu CLERICUS (Joannes).","Bibliotheque universelle et historique, 1686-93.",Amst. 1687-1700. 12°. 2de ed. 25 tom. en 22.,12°,1687,1700,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,213,Fag.G.16.64,F11,2,TRUE,FALSE,TRUE,141,29,
F.11.2 [1:16],"LECLERC, seu CLERICUS (Joannes).","Bibliotheque universelle et historique, 1686-93.",Amst. 1687-1700. 12°. 2de ed. 25 tom. en 22.,12°,1687,1700,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,213,Fag.G.16.65,F11,2,TRUE,FALSE,TRUE,141,35,
F.11.2 [1:17],"LECLERC, seu CLERICUS (Joannes).","Bibliotheque universelle et historique, 1686-93.",Amst. 1687-1700. 12°. 2de ed. 25 tom. en 22.,12°,1687,1700,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,213,Fag.G.16.66,F11,2,TRUE,FALSE,TRUE,140,36,
F.11.2 [1:18],"LECLERC, seu CLERICUS (Joannes).","Bibliotheque universelle et historique, 1686-93.",Amst. 1687-1700. 12°. 2de ed. 25 tom. en 22.,12°,1687,1700,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,213,Fag.G.16.67,F11,2,TRUE,FALSE,TRUE,142,37,
F.11.2 [1:19],"LECLERC, seu CLERICUS (Joannes).","Bibliotheque universelle et historique, 1686-93.",Amst. 1687-1700. 12°. 2de ed. 25 tom. en 22.,12°,1687,1700,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,213,Fag.G.16.68,F11,2,TRUE,FALSE,TRUE,142,32,
F.11.2 [1:20],"LECLERC, seu CLERICUS (Joannes).","Bibliotheque universelle et historique, 1686-93.",Amst. 1687-1700. 12°. 2de ed. 25 tom. en 22.,12°,1687,1700,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,213,Fag.G.16.69,F11,2,TRUE,FALSE,TRUE,142,35,
F.11.2 [1:21],"LECLERC, seu CLERICUS (Joannes).","Bibliotheque universelle et historique, 1686-93.",Amst. 1687-1700. 12°. 2de ed. 25 tom. en 22.,12°,1687,1700,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,213,Fag.G.16.70,F11,2,TRUE,FALSE,TRUE,142,36,
F.11.2 [1:22],"LECLERC, seu CLERICUS (Joannes).","Bibliotheque universelle et historique, 1686-93.",Amst. 1687-1700. 12°. 2de ed. 25 tom. en 22.,12°,1687,1700,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,213,Fag.G.16.71,F11,2,TRUE,FALSE,TRUE,142,36,
F.11.2 [2],"NAUDÉ (Gabriel), Parisiensis.","Bibliographia politica, et Casparis Scioppii Paedia politices, ut & ejusdem argumenta alia: nova editio, curâ Hermanni Conringii.","Francofurti, 1673. 12°.",12°,1673,0,Frankfurt am Main,gw|,LATIN,JUS CIVILE,"Miscellanies, Political and Juridical",vellum,8695,Fag.P.10.62,F11,2,TRUE,FALSE,FALSE,142,45,
F.11.2 [3],BODINUS (Joannes),"Methodus, ad facilem historiarum cognitionem.",Amstel. 1650. 12°.,12°,1650,0,Amsterdam,ne|,LATIN,HISTORIA,Introductions to History,vellum,4632,Fag.U.13.25,F11,2,TRUE,FALSE,FALSE,143,45,(estimate)
F.11.3 [1:1],LITERATURE.,"[Nouvelles de la republique des lettres] Janv. 1699-Dec. 1710, par Jaques Bernard.",Amst. 1699-1710. 12°. 24 tom [temporarily discontinued after Dec. 1710].,12°,1690,1710,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,217,Fag.L.9.1,F11,3,TRUE,TRUE,TRUE,142,43,
F.11.3 [1:2],LITERATURE.,"[Nouvelles de la republique des lettres] Janv. 1699-Dec. 1710, par Jaques Bernard.",Amst. 1699-1710. 12°. 24 tom [temporarily discontinued after Dec. 1710].,12°,1690,1710,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,217,Fag.L.9.2,F11,3,TRUE,TRUE,TRUE,143,44,
F.11.3 [1:3],LITERATURE.,"[Nouvelles de la republique des lettres] Janv. 1699-Dec. 1710, par Jaques Bernard.",Amst. 1699-1710. 12°. 24 tom [temporarily discontinued after Dec. 1710].,12°,1690,1710,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,217,Fag.L.9.3,F11,3,TRUE,TRUE,TRUE,143,44,
F.11.3 [1:4],LITERATURE.,"[Nouvelles de la republique des lettres] Janv. 1699-Dec. 1710, par Jaques Bernard.",Amst. 1699-1710. 12°. 24 tom [temporarily discontinued after Dec. 1710].,12°,1690,1710,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,217,Fag.L.9.4,F11,3,TRUE,TRUE,TRUE,143,44,
F.11.3 [1:5],LITERATURE.,"[Nouvelles de la republique des lettres] Janv. 1699-Dec. 1710, par Jaques Bernard.",Amst. 1699-1710. 12°. 24 tom [temporarily discontinued after Dec. 1710].,12°,1690,1710,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,217,Fag.L.9.5,F11,3,TRUE,TRUE,TRUE,144,44,
F.11.3 [1:6],LITERATURE.,"[Nouvelles de la republique des lettres] Janv. 1699-Dec. 1710, par Jaques Bernard.",Amst. 1699-1710. 12°. 24 tom [temporarily discontinued after Dec. 1710].,12°,1690,1710,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,217,Fag.L.9.6,F11,3,TRUE,TRUE,TRUE,143,43,
F.11.3 [1:7],LITERATURE.,"[Nouvelles de la republique des lettres] Janv. 1699-Dec. 1710, par Jaques Bernard.",Amst. 1699-1710. 12°. 24 tom [temporarily discontinued after Dec. 1710].,12°,1690,1710,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,217,Fag.L.9.7,F11,3,TRUE,TRUE,TRUE,143,43,
F.11.3 [1:8],LITERATURE.,"[Nouvelles de la republique des lettres] Janv. 1699-Dec. 1710, par Jaques Bernard.",Amst. 1699-1710. 12°. 24 tom [temporarily discontinued after Dec. 1710].,12°,1690,1710,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,217,Fag.L.9.8,F11,3,TRUE,TRUE,TRUE,145,44,
F.11.3 [1:9],LITERATURE.,"[Nouvelles de la republique des lettres] Janv. 1699-Dec. 1710, par Jaques Bernard.",Amst. 1699-1710. 12°. 24 tom [temporarily discontinued after Dec. 1710].,12°,1690,1710,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,217,Fag.L.9.9,F11,3,TRUE,TRUE,TRUE,143,40,
F.11.3 [1:10],LITERATURE.,"[Nouvelles de la republique des lettres] Janv. 1699-Dec. 1710, par Jaques Bernard.",Amst. 1699-1710. 12°. 24 tom [temporarily discontinued after Dec. 1710].,12°,1690,1710,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,217,Fag.L.9.10,F11,3,TRUE,TRUE,TRUE,144,42,
F.11.3 [1:11],LITERATURE.,"[Nouvelles de la republique des lettres] Janv. 1699-Dec. 1710, par Jaques Bernard.",Amst. 1699-1710. 12°. 24 tom [temporarily discontinued after Dec. 1710].,12°,1690,1710,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,217,Fag.L.9.11,F11,3,TRUE,TRUE,TRUE,144,40,
F.11.3 [1:12],LITERATURE.,"[Nouvelles de la republique des lettres] Janv. 1699-Dec. 1710, par Jaques Bernard.",Amst. 1699-1710. 12°. 24 tom [temporarily discontinued after Dec. 1710].,12°,1690,1710,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,217,Fag.L.9.12,F11,3,TRUE,TRUE,TRUE,144,41,
F.11.3 [1:13],LITERATURE.,"[Nouvelles de la republique des lettres] Janv. 1699-Dec. 1710, par Jaques Bernard.",Amst. 1699-1710. 12°. 24 tom [temporarily discontinued after Dec. 1710].,12°,1690,1710,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,217,Fag.L.9.13,F11,3,TRUE,TRUE,TRUE,145,42,
F.11.3 [1:14],LITERATURE.,"[Nouvelles de la republique des lettres] Janv. 1699-Dec. 1710, par Jaques Bernard.",Amst. 1699-1710. 12°. 24 tom [temporarily discontinued after Dec. 1710].,12°,1690,1710,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,217,Fag.L.9.14,F11,3,TRUE,TRUE,TRUE,145,43,
F.11.3 [1:15],LITERATURE.,"[Nouvelles de la republique des lettres] Janv. 1699-Dec. 1710, par Jaques Bernard.",Amst. 1699-1710. 12°. 24 tom [temporarily discontinued after Dec. 1710].,12°,1690,1710,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,217,Fag.L.9.15,F11,3,TRUE,TRUE,TRUE,144,44,
F.11.3 [1:16],LITERATURE.,"[Nouvelles de la republique des lettres] Janv. 1699-Dec. 1710, par Jaques Bernard.",Amst. 1699-1710. 12°. 24 tom [temporarily discontinued after Dec. 1710].,12°,1690,1710,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,217,Fag.L.9.16,F11,3,TRUE,TRUE,TRUE,144,46,
F.11.3 [1:17],LITERATURE.,"[Nouvelles de la republique des lettres] Janv. 1699-Dec. 1710, par Jaques Bernard.",Amst. 1699-1710. 12°. 24 tom [temporarily discontinued after Dec. 1710].,12°,1690,1710,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,217,Fag.L.9.17,F11,3,TRUE,TRUE,TRUE,144,45,
F.11.3 [1:18],LITERATURE.,"[Nouvelles de la republique des lettres] Janv. 1699-Dec. 1710, par Jaques Bernard.",Amst. 1699-1710. 12°. 24 tom [temporarily discontinued after Dec. 1710].,12°,1690,1710,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,217,Fag.L.9.18,F11,3,TRUE,TRUE,TRUE,145,42,
F.11.3 [1:19],LITERATURE.,"[Nouvelles de la republique des lettres] Janv. 1699-Dec. 1710, par Jaques Bernard.",Amst. 1699-1710. 12°. 24 tom [temporarily discontinued after Dec. 1710].,12°,1690,1710,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,217,Fag.L.9.19,F11,3,TRUE,TRUE,TRUE,143,42,
F.11.3 [1:20],LITERATURE.,"[Nouvelles de la republique des lettres] Janv. 1699-Dec. 1710, par Jaques Bernard.",Amst. 1699-1710. 12°. 24 tom [temporarily discontinued after Dec. 1710].,12°,1690,1710,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,217,Fag.L.9.20,F11,3,TRUE,TRUE,TRUE,145,40,
F.11.3 [1:21],LITERATURE.,"[Nouvelles de la republique des lettres] Janv. 1699-Dec. 1710, par Jaques Bernard.",Amst. 1699-1710. 12°. 24 tom [temporarily discontinued after Dec. 1710].,12°,1690,1710,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,217,Fag.L.9.21,F11,3,TRUE,TRUE,TRUE,145,39,
F.11.3 [1:22],LITERATURE.,"[Nouvelles de la republique des lettres] Janv. 1699-Dec. 1710, par Jaques Bernard.",Amst. 1699-1710. 12°. 24 tom [temporarily discontinued after Dec. 1710].,12°,1690,1710,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,217,Fag.L.9.22,F11,3,TRUE,TRUE,TRUE,143,36,
F.11.3 [1:23],LITERATURE.,"[Nouvelles de la republique des lettres] Janv. 1699-Dec. 1710, par Jaques Bernard.",Amst. 1699-1710. 12°. 24 tom [temporarily discontinued after Dec. 1710].,12°,1690,1710,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,217,Fag.L.9.23,F11,3,TRUE,TRUE,TRUE,145,42,
F.10.1 [1],GOOS (Abraham).,"Nieuw Nederlandtsch caertboeck, waer in vertoont werden de XVII. Nederlanden. Mitsgaders een nieuwe beschryvinge door Reinier Telle. ",Amst. 1625. 8°.,8°,1625,0,Amsterdam,ne|,DUTCH,GERMANIAE INFERIORIS ,Topography of the XVII Provinces,vellum,7043,Fag.H.12.66,F10,1,TRUE,TRUE,TRUE,161,18,
F.10.1 [2],BEAUMONT (Simon van),"Horae succisivae. Tyt-snipperingen, vande jonckheyt, tot inden ouderdom. Vermeerdert met de rijmen ende versen van de jaren. XVI.° XXXVIII. ende XXXIX. ",Rotterd. 1640. 8°.,8°,1640,0,Rotterdam,ne|,DUTCH,PHILOLOGIA,Dutch Poetry and Miscellanies,vellum,3511,Fag.G.15.88,F10,1,TRUE,FALSE,TRUE,161,26,
F.10.1 [3],[Not held in TCD],De waere geneeskunde overhaerlyckt door Abraham van Limburg,Amst. 1715. 8°.,8°,1715,0,Amsterdam,ne|,unknown,unknown,unknown,unknown,none,F.10.1 [3],F10,1,FALSE,FALSE,FALSE,158,44,(estimate)
